,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,10,13,12,21,18,15,18,17,24,22,20,24,28,33,37
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Other Third Party Payers and Programs,15,17,18,19,20,22,27,31,37,44,48,54,57,61,71,77,80,86,93,102,105,106,111,127,148,175,205,239,279,319,366,358,362,359,359,349,361,389,427,468,501,506,528,537,545,544,542,569,582,565,587,612,630,625
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,6,6,5,6,6,6,6,6,6,7,9,9,10,10
         Workers' Compensation,9,9,10,11,11,12,14,15,17,19,21,23,25,30,34,39,42,45,48,55,56,58,62,72,87,105,127,155,189,216,254,243,251,252,242,234,247,269,303,335,359,365,381,388,384,383,376,388,408,382,397,424,430,436
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,3,6,8,5,5,17,21,22,13,10,12,9,8,6,6,12,14,13,18,21,32,31,31,40,35,43,42,30,24,25
         Maternal/Child Health,2,3,3,4,4,4,5,7,10,12,11,12,14,13,15,16,17,18,20,21,22,22,21,23,24,29,32,37,40,39,41,39,40,40,42,40,42,46,48,52,56,51,51,49,47,47,47,49,48,44,44,40,37,34
                          Federal  ,1,1,1,1,1,2,3,4,6,7,6,7,9,8,9,10,11,12,12,13,13,12,11,12,11,14,14,16,17,17,18,16,17,17,17,16,17,17,18,19,20,18,19,18,17,17,16,16,16,15,15,15,15,14
                          State and Local,2,2,2,2,2,2,3,3,4,5,5,5,5,5,6,6,6,7,7,9,10,10,10,11,13,15,18,21,23,22,24,23,23,23,25,24,26,29,30,33,36,33,32,31,30,30,31,33,33,29,28,25,23,20
         Vocational Rehabilitation,4,4,4,4,4,5,6,8,9,12,15,17,17,17,20,21,19,21,23,24,24,24,25,28,30,32,34,38,40,42,45,48,51,51,57,59,58,61,62,63,65,69,71,72,73,75,80,83,83,87,94,93,89,88
                          Federal  ,2,2,2,3,3,3,5,6,7,9,12,13,13,13,15,16,15,16,17,18,19,18,18,21,23,24,26,29,31,32,34,37,39,38,43,44,43,46,47,48,49,53,54,56,57,58,60,62,63,67,73,73,69,68
                          State and Local,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,9,9,10,10,11,12,13,14,15,15,15,15,15,16,17,17,17,17,17,20,21,19,20,20,20,20,20
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   ,1,1,1,1,1,1,1,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,14,36,30
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,11,25,39,57,63,62,68,87,122,159,183,214,265,333,416,565,733,929,"1,050","1,190","1,362","1,571","1,740","2,040","2,384","2,752","3,233","3,659","4,045","4,695","5,066","5,451","5,230","5,424","5,945","6,993","8,043","8,829","9,136","9,746","10,561","10,929","11,963","11,879","12,213","12,274","12,903","12,728"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Nursing Care Facilities and Continuing Care Retirement Communities,811,841,876,"1,009","1,168","1,408","1,732","2,234","2,851","3,411","4,034","4,551","5,227","5,974","6,928","8,022","9,057","10,259","11,845","13,344","15,270","17,343","19,494","21,701","23,750","26,253","28,712","30,731","34,325","38,673","44,890","49,386","53,050","56,024","58,634","64,478","69,569","74,391","79,412","80,793","85,120","90,781","94,480","100,313","105,758","112,472","117,356","126,414","132,570","138,546","143,028","149,199","152,158","155,829"
     Out of pocket,606,579,527,593,666,791,"1,047","1,056","1,476","1,789","1,998","2,136","2,493","2,865","2,888","3,196","3,737","4,340","4,936","5,345","6,218","6,886","8,127","9,185","9,857","11,017","11,987","12,279","14,103","14,955","18,084","18,435","18,592","18,486","17,789","19,681","19,364","20,831","25,139","26,104","27,195","27,615","27,941","30,498","31,787","33,356","34,840","37,746","39,281","39,987","40,208","41,078","44,329","45,822"
     Health Insurance, -   , -   , -   , -   , -   ,9,225,852,990,"1,038","1,151","1,583","2,336","2,648","3,521","4,245","4,670","5,216","6,080","7,057","7,919","9,148","9,792","10,669","11,816","12,813","14,061","15,613","16,820","19,849","21,924","25,622","28,705","31,379","35,238","38,247","43,463","46,426","47,840","48,114","52,040","57,656","60,881","63,577","67,415","71,778","74,753","79,166","84,592","89,325","92,578","97,675","96,595","98,488"
          Private Health Insurance, -   , -   , -   , -   , -   ,1,2,3,5,7,9,12,17,23,29,38,54,75,104,136,193,261,376,519,684,940,"1,253","1,584","1,947","2,192","2,794","2,984","3,134","3,232","4,116","5,511","6,398","6,767","7,431","7,761","7,473","7,736","8,180","7,504","6,876","7,332","8,289","9,027","9,645","10,423","10,908","11,394","12,145","12,580"
          Medicare, -   , -   , -   , -   , -   , -   , -   ,190,244,216,143,121,120,165,200,220,260,267,268,283,307,337,367,392,423,454,458,499,732,"2,503","1,700","1,962","2,888","3,963","5,603","6,690","9,475","11,234","11,401","9,460","10,822","13,338","15,026","15,772","18,259","20,535","22,356","24,841","27,609","30,049","32,198","35,656","33,810","34,555"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,204,628,706,771,940,"1,367","2,099","2,338","3,149","3,810","4,129","4,646","5,421","6,327","7,055","8,138","8,567","9,204","10,053","10,695","11,538","12,656","13,223","14,229","16,433","19,563","21,480","22,838","24,038","24,516","25,978","26,809","27,320","29,113","31,859","34,529","35,482","37,762","39,615","41,131","41,290","42,061","43,743","44,954","45,438","46,330","46,258","46,867"
                          Federal  , -   , -   , -   , -   , -   , -   ,98,304,366,425,505,779,"1,140","1,226","1,775","2,094","2,448","2,619","3,007","3,587","3,984","4,558","4,776","5,110","5,547","5,882","6,371","6,985","7,410","8,008","9,247","10,866","12,239","13,121","13,515","13,683","14,596","14,920","15,221","16,385","18,510","21,206","21,515","22,126","22,947","23,212","23,265","23,713","25,649","29,917","30,750","28,087","26,384","26,689"
                          State and Local, -   , -   , -   , -   , -   , -   ,105,324,340,346,436,588,959,"1,112","1,374","1,716","1,681","2,026","2,414","2,740","3,071","3,580","3,791","4,094","4,507","4,813","5,167","5,670","5,813","6,221","7,186","8,697","9,241","9,717","10,522","10,833","11,382","11,889","12,099","12,727","13,349","13,323","13,967","15,636","16,668","17,919","18,025","18,348","18,094","15,038","14,688","18,243","19,874","20,178"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,14,9,5,5,3,4,4,5,2,5,4,5,7,8,11
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,10,7,4,4,2,3,3,3,1,3,3,4,5,5,7
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,4,2,1,1,1,1,1,1,1,2,1,2,2,2,3
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   ,7,19,31,36,44,59,84,100,122,142,176,227,228,287,310,364,412,483,554,656,724,811,874,918,926,997,"1,114","1,204","1,346","1,481","1,531","1,613","1,616","1,684","1,766","1,877","2,048","2,189","2,536","2,661","2,775","2,813","3,235","3,590","3,894","4,029","4,286","4,374","4,475"
     Other Third Party Payers and Programs,205,261,348,417,502,608,461,327,384,584,885,832,399,461,519,581,651,703,829,942,"1,132","1,309","1,574","1,846","2,077","2,424","2,664","2,839","3,401","3,868","4,882","5,329","5,753","6,159","5,607","6,550","6,742","7,133","6,433","6,574","5,885","5,510","5,657","6,238","6,556","7,338","7,764","9,502","8,697","9,234","10,243","10,446","11,234","11,519"
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues,49,51,52,60,69,75,89,107,133,155,183,207,240,282,315,357,398,415,499,571,702,824,"1,032","1,240","1,419","1,696","1,870","1,989","2,449","2,783","3,608","3,942","4,261","4,576","3,920","4,717","4,759","5,009","4,647","4,726","4,295","3,832","3,799","4,177","4,328","4,939","5,223","6,717","5,893","6,319","6,844","7,037","7,673","7,841"
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance,4,4,4,3,4,4,6,12,12,16,17,17,19,19,20,10,11,14,14,15,22,20,20,24,21,22,25,29,35,48,67,60,66,78,114,99,109,114,139,143,148,155,148,193,261,310,363,433,338,340,346,334,412,441
         Maternal/Child Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*,67,100,151,190,198,215,160,89,91,176,339,283, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**,84,107,142,163,231,314,206,118,148,237,347,325,140,160,185,214,241,274,316,357,409,465,522,582,637,706,769,821,918,"1,037","1,207","1,327","1,426","1,505","1,573","1,733","1,874","2,010","1,648","1,705","1,442","1,523","1,710","1,868","1,967","2,089","2,178","2,352","2,466","2,575","3,052","3,074","3,148","3,238"
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,204,818,950,987,"1,083","1,488","2,219","2,503","3,349","4,030","4,389","4,913","5,689","6,610","7,362","8,475","8,934","9,596","10,476","11,149","11,996","13,155","13,955","16,732","18,133","21,525","24,368","26,801","29,641","31,206","35,453","38,043","38,725","38,587","42,690","47,872","50,513","53,537","57,878","61,670","63,651","66,904","71,357","75,007","77,641","81,993","80,076","81,433"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Other Health, Residential, and Personal Care Expenditures",451,518,552,604,665,725,828,939,"1,093","1,243","1,330","1,423","1,716","2,019","2,409","2,934","3,617","4,547","5,562","6,831","8,516","9,562","10,918","12,254","13,350","14,829","16,047","17,229","19,234","21,879","24,322","27,830","30,090","34,043","37,963","41,920","46,489","50,439","56,129","59,713","64,531","70,554","77,557","83,635","90,600","96,532","101,690","107,670","113,549","122,474","128,535","132,497","140,117","148,230"
     Out of pocket,70,73,79,85,96,103,108,115,133,149,166,181,198,223,245,240,261,290,317,358,406,522,697,788,895,"1,017","1,060","1,069","1,212","1,335","1,300","1,285","1,263","1,420","1,559","1,650","2,055","2,380","3,250","3,435","3,728","4,053","4,467","5,003","5,512","5,928","5,920","6,054","6,323","6,667","6,893","7,053","7,451","7,668"
     Health Insurance,62,67,72,77,84,94,120,161,220,280,285,264,363,518,695,991,"1,344","1,903","2,536","3,244","4,166","4,572","5,210","5,935","6,371","7,141","7,962","8,727","9,725","11,469","13,042","15,731","17,440","20,212","23,006","25,852","28,663","31,071","32,981","35,266","38,122","42,191","47,256","51,181","55,968","59,798","63,441","67,072","70,361","77,156","81,797","84,649","91,220","98,747"
